location_type,time_of_day,day_of_week,num_suspects,weapon_involved,known_offender,prior_incidents,suspect_age,officer_on_scene,crime_type,latitude,longitude,description,date
Commercial,Afternoon,Monday,3,None,No,1,58,Yes,Theft,28.6094316012526,77.21276769390792,Type: Theft | Location: Commercial | Time: Afternoon | Weapon: None | Suspects: 3,2016-04-12
Commercial,Morning,Saturday,2,Knife,Yes,3,32,No,Vandalism,28.61797185945996,77.20445117624044,Type: Vandalism | Location: Commercial | Time: Morning | Weapon: Knife | Suspects: 2,2016-10-24
Parking Lot,Afternoon,Monday,4,Gun,No,6,59,No,Assault,28.599319780623844,77.19937588771607,Type: Assault | Location: Parking Lot | Time: Afternoon | Weapon: Gun | Suspects: 4,2022-10-09
Alley,Night,Wednesday,4,Gun,No,2,35,Yes,Assault,28.596160302235194,77.19746466749324,Type: Assault | Location: Alley | Time: Night | Weapon: Gun | Suspects: 4,2023-10-10
Park,Night,Saturday,3,None,Yes,6,27,Yes,Homicide,28.569010376672363,77.20862420896188,Type: Homicide | Location: Park | Time: Night | Weapon: None | Suspects: 3,2015-06-19
Alley,Afternoon,Sunday,1,None,No,1,51,No,Robbery,28.60460550272728,77.19525009650876,Type: Robbery | Location: Alley | Time: Afternoon | Weapon: None | Suspects: 1,2020-06-07
Commercial,Morning,Wednesday,1,Blunt Object,No,8,36,Yes,Homicide,28.610551266675,77.20545340836274,Type: Homicide | Location: Commercial | Time: Morning | Weapon: Blunt Object | Suspects: 1,2020-04-27
Park,Night,Tuesday,3,Gun,No,4,50,Yes,Burglary,28.569170808787938,77.20601281299638,Type: Burglary | Location: Park | Time: Night | Weapon: Gun | Suspects: 3,2017-02-26
Residential,Evening,Friday,5,Blunt Object,No,9,28,Yes,Robbery,28.6242764425644,77.19802764177092,Type: Robbery | Location: Residential | Time: Evening | Weapon: Blunt Object | Suspects: 5,2023-02-17
Park,Evening,Tuesday,3,Gun,Yes,5,49,Yes,Burglary,28.56269067480044,77.21428769094712,Type: Burglary | Location: Park | Time: Evening | Weapon: Gun | Suspects: 3,2017-05-26
Commercial,Night,Tuesday,3,Gun,No,2,21,Yes,Theft,28.609719502593105,77.2068295558509,Type: Theft | Location: Commercial | Time: Night | Weapon: Gun | Suspects: 3,2019-09-20
Street,Morning,Wednesday,3,None,Yes,8,18,No,Vandalism,28.610232870013657,77.23344744844466,Type: Vandalism | Location: Street | Time: Morning | Weapon: None | Suspects: 3,2022-01-16
Park,Morning,Tuesday,2,Knife,No,10,36,Yes,Vandalism,28.563705257932128,77.2141188569761,Type: Vandalism | Location: Park | Time: Morning | Weapon: Knife | Suspects: 2,2020-04-04
Commercial,Afternoon,Friday,5,Knife,Yes,6,50,No,Burglary,28.61029661842098,77.21009165600996,Type: Burglary | Location: Commercial | Time: Afternoon | Weapon: Knife | Suspects: 5,2023-11-08
Alley,Afternoon,Friday,4,Blunt Object,No,0,24,Yes,Theft,28.59735672695433,77.1965707918919,Type: Theft | Location: Alley | Time: Afternoon | Weapon: Blunt Object | Suspects: 4,2017-04-29
Commercial,Morning,Tuesday,5,Knife,Yes,0,35,No,Vandalism,28.611592372161525,77.20769662380538,Type: Vandalism | Location: Commercial | Time: Morning | Weapon: Knife | Suspects: 5,2017-01-01
Alley,Afternoon,Sunday,1,Blunt Object,No,0,58,No,Vandalism,28.59724766395123,77.20338257828926,Type: Vandalism | Location: Alley | Time: Afternoon | Weapon: Blunt Object | Suspects: 1,2021-05-08
Residential,Night,Friday,1,None,Yes,6,45,No,Theft,28.62254330662052,77.19951936286006,Type: Theft | Location: Residential | Time: Night | Weapon: None | Suspects: 1,2016-06-14
Commercial,Morning,Tuesday,3,None,No,9,37,No,Theft,28.609025926483163,77.21384141995982,Type: Theft | Location: Commercial | Time: Morning | Weapon: None | Suspects: 3,2022-06-05
Street,Afternoon,Saturday,3,Knife,No,6,60,No,Robbery,28.609750411887408,77.23065957829768,Type: Robbery | Location: Street | Time: Afternoon | Weapon: Knife | Suspects: 3,2021-04-08
Commercial,Night,Wednesday,3,Knife,Yes,8,36,No,Homicide,28.61050873970676,77.20874082615835,Type: Homicide | Location: Commercial | Time: Night | Weapon: Knife | Suspects: 3,2015-10-15
Commercial,Afternoon,Thursday,1,None,No,5,31,Yes,Robbery,28.615002730392472,77.21265421157716,Type: Robbery | Location: Commercial | Time: Afternoon | Weapon: None | Suspects: 1,2022-11-04
Residential,Night,Thursday,5,Knife,Yes,1,42,No,Burglary,28.62301718066867,77.19644693216482,Type: Burglary | Location: Residential | Time: Night | Weapon: Knife | Suspects: 5,2019-07-07
Parking Lot,Afternoon,Friday,3,Knife,Yes,5,50,No,Assault,28.59728267582275,77.20028212364022,Type: Assault | Location: Parking Lot | Time: Afternoon | Weapon: Knife | Suspects: 3,2017-08-29
Commercial,Afternoon,Monday,3,Gun,Yes,9,54,No,Theft,28.61028516599161,77.20460662492192,Type: Theft | Location: Commercial | Time: Afternoon | Weapon: Gun | Suspects: 3,2019-07-09
Residential,Night,Thursday,5,Knife,Yes,5,31,Yes,Robbery,28.621959396029663,77.19698052842949,Type: Robbery | Location: Residential | Time: Night | Weapon: Knife | Suspects: 5,2021-04-06
Alley,Night,Saturday,4,Knife,No,9,58,Yes,Burglary,28.596609791551124,77.20157502995788,Type: Burglary | Location: Alley | Time: Night | Weapon: Knife | Suspects: 4,2024-11-09
Street,Afternoon,Sunday,5,Gun,No,3,19,No,Burglary,28.614062223138923,77.23160191646336,Type: Burglary | Location: Street | Time: Afternoon | Weapon: Gun | Suspects: 5,2019-08-02
Residential,Afternoon,Sunday,3,Blunt Object,Yes,7,50,No,Homicide,28.619400033982444,77.20367317011477,Type: Homicide | Location: Residential | Time: Afternoon | Weapon: Blunt Object | Suspects: 3,2019-10-07
Commercial,Afternoon,Tuesday,3,Knife,No,4,37,No,Assault,28.61702353986055,77.21060139295456,Type: Assault | Location: Commercial | Time: Afternoon | Weapon: Knife | Suspects: 3,2024-03-15
Commercial,Night,Sunday,2,Gun,No,1,21,Yes,Homicide,28.61802266122793,77.21178353299166,Type: Homicide | Location: Commercial | Time: Night | Weapon: Gun | Suspects: 2,2021-06-03
Street,Afternoon,Saturday,2,Blunt Object,No,9,56,No,Assault,28.60786000493607,77.23447484969424,Type: Assault | Location: Street | Time: Afternoon | Weapon: Blunt Object | Suspects: 2,2018-03-04
Commercial,Morning,Saturday,1,Blunt Object,Yes,2,24,No,Theft,28.61393596436472,77.20949907452761,Type: Theft | Location: Commercial | Time: Morning | Weapon: Blunt Object | Suspects: 1,2019-07-24
Park,Afternoon,Wednesday,5,None,No,7,30,Yes,Robbery,28.569920715744647,77.21056460271359,Type: Robbery | Location: Park | Time: Afternoon | Weapon: None | Suspects: 5,2016-06-01
Commercial,Afternoon,Monday,4,Knife,No,10,60,Yes,Theft,28.614058183934468,77.20992930200848,Type: Theft | Location: Commercial | Time: Afternoon | Weapon: Knife | Suspects: 4,2019-08-28
Commercial,Morning,Friday,1,Blunt Object,No,0,51,No,Robbery,28.61332470811688,77.21020426966022,Type: Robbery | Location: Commercial | Time: Morning | Weapon: Blunt Object | Suspects: 1,2017-05-06
Alley,Night,Monday,1,Knife,Yes,3,56,Yes,Theft,28.600834988615063,77.195133559693,Type: Theft | Location: Alley | Time: Night | Weapon: Knife | Suspects: 1,2024-01-12
Commercial,Morning,Wednesday,5,Gun,Yes,3,38,Yes,Assault,28.61871864928762,77.21375844720677,Type: Assault | Location: Commercial | Time: Morning | Weapon: Gun | Suspects: 5,2023-01-08
Alley,Morning,Saturday,1,None,No,8,19,No,Theft,28.60091923354117,77.19564266204583,Type: Theft | Location: Alley | Time: Morning | Weapon: None | Suspects: 1,2018-07-29
Street,Afternoon,Tuesday,1,None,No,9,16,Yes,Burglary,28.61319430439736,77.22854156333038,Type: Burglary | Location: Street | Time: Afternoon | Weapon: None | Suspects: 1,2020-12-22
Park,Evening,Wednesday,2,None,No,9,23,Yes,Vandalism,28.564575295681266,77.21026480443966,Type: Vandalism | Location: Park | Time: Evening | Weapon: None | Suspects: 2,2017-09-05
Commercial,Night,Monday,5,None,No,4,17,No,Robbery,28.61482365723416,77.21117540021815,Type: Robbery | Location: Commercial | Time: Night | Weapon: None | Suspects: 5,2024-08-05
Park,Night,Monday,5,None,Yes,6,44,Yes,Burglary,28.56856166494952,77.21472906190053,Type: Burglary | Location: Park | Time: Night | Weapon: None | Suspects: 5,2017-04-17
Street,Afternoon,Tuesday,5,Knife,No,5,20,No,Homicide,28.612017076806648,77.225022039901,Type: Homicide | Location: Street | Time: Afternoon | Weapon: Knife | Suspects: 5,2022-10-06
Parking Lot,Evening,Wednesday,1,Gun,No,8,37,Yes,Vandalism,28.60089227619739,77.20240956101448,Type: Vandalism | Location: Parking Lot | Time: Evening | Weapon: Gun | Suspects: 1,2018-03-30
Park,Afternoon,Tuesday,4,Blunt Object,Yes,8,40,Yes,Homicide,28.569063124068663,77.20799750862976,Type: Homicide | Location: Park | Time: Afternoon | Weapon: Blunt Object | Suspects: 4,2021-07-07
Residential,Morning,Wednesday,5,None,No,5,21,No,Burglary,28.62027109764873,77.19850641977254,Type: Burglary | Location: Residential | Time: Morning | Weapon: None | Suspects: 5,2015-08-21
Commercial,Evening,Saturday,3,Gun,Yes,3,33,Yes,Assault,28.61252121353874,77.21048449059784,Type: Assault | Location: Commercial | Time: Evening | Weapon: Gun | Suspects: 3,2015-11-03
Residential,Morning,Tuesday,3,Blunt Object,No,7,45,Yes,Assault,28.62022910167256,77.20101056000252,Type: Assault | Location: Residential | Time: Morning | Weapon: Blunt Object | Suspects: 3,2022-05-03
Commercial,Morning,Thursday,2,Gun,No,1,24,No,Burglary,28.61181374772895,77.20575951470748,Type: Burglary | Location: Commercial | Time: Morning | Weapon: Gun | Suspects: 2,2017-10-19
Street,Night,Wednesday,2,Knife,No,1,25,Yes,Vandalism,28.61280032201876,77.22791223170786,Type: Vandalism | Location: Street | Time: Night | Weapon: Knife | Suspects: 2,2015-08-21
Street,Night,Sunday,1,Gun,Yes,9,47,Yes,Burglary,28.61104476055077,77.23201431434568,Type: Burglary | Location: Street | Time: Night | Weapon: Gun | Suspects: 1,2017-05-14
Residential,Night,Thursday,1,None,Yes,3,33,Yes,Robbery,28.61813171479609,77.19899527734627,Type: Robbery | Location: Residential | Time: Night | Weapon: None | Suspects: 1,2022-01-28
Commercial,Morning,Friday,2,Blunt Object,Yes,3,19,Yes,Theft,28.6150441597932,77.20762465926492,Type: Theft | Location: Commercial | Time: Morning | Weapon: Blunt Object | Suspects: 2,2019-10-14
Parking Lot,Night,Tuesday,2,None,Yes,8,47,Yes,Theft,28.59569630720141,77.20472207869416,Type: Theft | Location: Parking Lot | Time: Night | Weapon: None | Suspects: 2,2016-08-31
Alley,Evening,Tuesday,3,Knife,No,9,16,Yes,Assault,28.60257466416008,77.19650909797701,Type: Assault | Location: Alley | Time: Evening | Weapon: Knife | Suspects: 3,2024-12-18
Commercial,Night,Tuesday,2,Blunt Object,No,9,29,No,Homicide,28.61314364762599,77.20549871702023,Type: Homicide | Location: Commercial | Time: Night | Weapon: Blunt Object | Suspects: 2,2018-08-01
Residential,Morning,Sunday,4,None,Yes,5,49,Yes,Burglary,28.61845487880833,77.197857801649,Type: Burglary | Location: Residential | Time: Morning | Weapon: None | Suspects: 4,2020-05-04
Alley,Afternoon,Sunday,3,None,No,1,33,No,Burglary,28.602532190690813,77.20177354680297,Type: Burglary | Location: Alley | Time: Afternoon | Weapon: None | Suspects: 3,2024-02-17
Street,Evening,Monday,4,None,Yes,2,54,No,Vandalism,28.60870870689519,77.23416631021715,Type: Vandalism | Location: Street | Time: Evening | Weapon: None | Suspects: 4,2015-06-15
Residential,Afternoon,Tuesday,4,Gun,No,8,57,No,Robbery,28.621134925348223,77.20355452595908,Type: Robbery | Location: Residential | Time: Afternoon | Weapon: Gun | Suspects: 4,2024-02-17
Commercial,Night,Thursday,5,None,No,7,56,No,Assault,28.61398199434617,77.20974144172753,Type: Assault | Location: Commercial | Time: Night | Weapon: None | Suspects: 5,2022-12-13
Residential,Afternoon,Monday,2,Blunt Object,No,1,25,Yes,Assault,28.62279747450522,77.1956635027765,Type: Assault | Location: Residential | Time: Afternoon | Weapon: Blunt Object | Suspects: 2,2022-06-19
Residential,Afternoon,Thursday,3,None,No,9,38,Yes,Burglary,28.624527100623737,77.1966795776553,Type: Burglary | Location: Residential | Time: Afternoon | Weapon: None | Suspects: 3,2019-06-08
Parking Lot,Afternoon,Monday,5,Knife,No,5,26,No,Assault,28.596515050280622,77.19819193623304,Type: Assault | Location: Parking Lot | Time: Afternoon | Weapon: Knife | Suspects: 5,2015-11-25
Alley,Evening,Friday,3,Blunt Object,Yes,9,27,No,Assault,28.5959180656356,77.19636356076202,Type: Assault | Location: Alley | Time: Evening | Weapon: Blunt Object | Suspects: 3,2018-04-25
Street,Night,Sunday,3,Knife,No,3,51,Yes,Burglary,28.611889509453963,77.23357572629867,Type: Burglary | Location: Street | Time: Night | Weapon: Knife | Suspects: 3,2017-05-24
Alley,Morning,Thursday,1,None,Yes,8,19,No,Burglary,28.602017085997065,77.2049018226651,Type: Burglary | Location: Alley | Time: Morning | Weapon: None | Suspects: 1,2019-01-08
Commercial,Evening,Tuesday,2,Gun,No,10,37,Yes,Homicide,28.6156381776963,77.20721156571813,Type: Homicide | Location: Commercial | Time: Evening | Weapon: Gun | Suspects: 2,2024-08-21
Parking Lot,Afternoon,Saturday,3,Gun,No,0,27,No,Homicide,28.60360186877872,77.20253712067537,Type: Homicide | Location: Parking Lot | Time: Afternoon | Weapon: Gun | Suspects: 3,2017-12-07
Parking Lot,Afternoon,Sunday,1,Blunt Object,No,2,55,No,Assault,28.597338614122307,77.19865859891159,Type: Assault | Location: Parking Lot | Time: Afternoon | Weapon: Blunt Object | Suspects: 1,2022-03-12
Residential,Evening,Friday,1,Knife,Yes,2,28,No,Vandalism,28.624257560592675,77.20073682632115,Type: Vandalism | Location: Residential | Time: Evening | Weapon: Knife | Suspects: 1,2016-11-10
Residential,Evening,Tuesday,5,Knife,Yes,9,28,No,Burglary,28.618289823785563,77.19711242261951,Type: Burglary | Location: Residential | Time: Evening | Weapon: Knife | Suspects: 5,2015-07-30
Residential,Evening,Friday,5,Gun,Yes,5,45,No,Homicide,28.616085665205155,77.20180557198675,Type: Homicide | Location: Residential | Time: Evening | Weapon: Gun | Suspects: 5,2018-09-25
Residential,Morning,Tuesday,4,Gun,Yes,0,50,Yes,Vandalism,28.61637593457098,77.19650378835681,Type: Vandalism | Location: Residential | Time: Morning | Weapon: Gun | Suspects: 4,2020-07-01
Street,Afternoon,Thursday,3,Knife,No,1,25,Yes,Assault,28.605711170430467,77.2315071618841,Type: Assault | Location: Street | Time: Afternoon | Weapon: Knife | Suspects: 3,2019-08-17
Residential,Night,Tuesday,5,Blunt Object,Yes,10,25,No,Robbery,28.6180707151059,77.19701565242694,Type: Robbery | Location: Residential | Time: Night | Weapon: Blunt Object | Suspects: 5,2015-06-08
Residential,Morning,Saturday,2,Blunt Object,No,5,37,Yes,Assault,28.616186347087744,77.19985031125506,Type: Assault | Location: Residential | Time: Morning | Weapon: Blunt Object | Suspects: 2,2023-08-01
Park,Evening,Friday,3,Knife,Yes,3,47,No,Homicide,28.572246182085536,77.21357068813516,Type: Homicide | Location: Park | Time: Evening | Weapon: Knife | Suspects: 3,2019-08-17
Street,Morning,Tuesday,3,Blunt Object,No,9,26,Yes,Vandalism,28.60996971657293,77.23329653715085,Type: Vandalism | Location: Street | Time: Morning | Weapon: Blunt Object | Suspects: 3,2018-01-24
Residential,Afternoon,Friday,2,None,Yes,7,22,Yes,Burglary,28.62285568669934,77.1961098089695,Type: Burglary | Location: Residential | Time: Afternoon | Weapon: None | Suspects: 2,2017-04-20
Parking Lot,Morning,Saturday,5,Knife,Yes,9,54,No,Burglary,28.596236921054363,77.2009975562327,Type: Burglary | Location: Parking Lot | Time: Morning | Weapon: Knife | Suspects: 5,2019-05-08
Street,Night,Sunday,5,None,No,4,17,Yes,Burglary,28.606268538587702,77.2253803184785,Type: Burglary | Location: Street | Time: Night | Weapon: None | Suspects: 5,2019-08-23
Residential,Afternoon,Wednesday,2,Gun,Yes,4,54,Yes,Robbery,28.62247437784982,77.20047012808774,Type: Robbery | Location: Residential | Time: Afternoon | Weapon: Gun | Suspects: 2,2022-10-10
Alley,Afternoon,Saturday,5,Gun,Yes,0,55,Yes,Homicide,28.59821514707492,77.19500949175429,Type: Homicide | Location: Alley | Time: Afternoon | Weapon: Gun | Suspects: 5,2021-06-19
Alley,Afternoon,Saturday,3,None,No,8,45,No,Robbery,28.603402073399028,77.19825353098834,Type: Robbery | Location: Alley | Time: Afternoon | Weapon: None | Suspects: 3,2020-07-01
Residential,Afternoon,Tuesday,1,Knife,Yes,0,51,No,Vandalism,28.61658850672724,77.19592952721038,Type: Vandalism | Location: Residential | Time: Afternoon | Weapon: Knife | Suspects: 1,2020-06-28
Parking Lot,Morning,Friday,3,Gun,Yes,5,45,No,Assault,28.60098299226945,77.20364086979988,Type: Assault | Location: Parking Lot | Time: Morning | Weapon: Gun | Suspects: 3,2015-09-15
Street,Night,Wednesday,4,Gun,Yes,3,49,No,Vandalism,28.60576185084077,77.228499619922,Type: Vandalism | Location: Street | Time: Night | Weapon: Gun | Suspects: 4,2023-12-02
Residential,Afternoon,Tuesday,3,None,Yes,1,47,No,Vandalism,28.61663856703344,77.20289056483215,Type: Vandalism | Location: Residential | Time: Afternoon | Weapon: None | Suspects: 3,2017-05-15
Commercial,Night,Saturday,3,Blunt Object,No,6,48,Yes,Robbery,28.61435950405969,77.21344548703262,Type: Robbery | Location: Commercial | Time: Night | Weapon: Blunt Object | Suspects: 3,2019-10-16
Street,Evening,Saturday,4,Blunt Object,Yes,9,50,No,Robbery,28.606125056633736,77.22988312772496,Type: Robbery | Location: Street | Time: Evening | Weapon: Blunt Object | Suspects: 4,2017-08-24
Residential,Evening,Tuesday,2,Blunt Object,No,2,54,Yes,Homicide,28.617574811705207,77.19822833540702,Type: Homicide | Location: Residential | Time: Evening | Weapon: Blunt Object | Suspects: 2,2021-02-08
Street,Evening,Sunday,3,Gun,No,7,27,No,Homicide,28.60945389903684,77.22988818086965,Type: Homicide | Location: Street | Time: Evening | Weapon: Gun | Suspects: 3,2017-12-18
Park,Afternoon,Monday,3,Blunt Object,Yes,7,47,No,Homicide,28.563949461473207,77.20741351490895,Type: Homicide | Location: Park | Time: Afternoon | Weapon: Blunt Object | Suspects: 3,2019-05-18
Alley,Night,Saturday,1,Blunt Object,No,5,17,No,Assault,28.596330523466094,77.19794603288037,Type: Assault | Location: Alley | Time: Night | Weapon: Blunt Object | Suspects: 1,2018-06-30
Commercial,Evening,Monday,4,Knife,Yes,10,17,Yes,Homicide,28.613939321949925,77.20934915521099,Type: Homicide | Location: Commercial | Time: Evening | Weapon: Knife | Suspects: 4,2022-01-26
Park,Afternoon,Thursday,1,Blunt Object,No,3,35,No,Robbery,28.570128978799428,77.20931669754356,Type: Robbery | Location: Park | Time: Afternoon | Weapon: Blunt Object | Suspects: 1,2020-04-27
Park,Afternoon,Saturday,2,None,Yes,6,22,Yes,Robbery,28.57150976808727,77.21340868152352,Type: Robbery | Location: Park | Time: Afternoon | Weapon: None | Suspects: 2,2020-01-08
Parking Lot,Night,Thursday,5,Blunt Object,Yes,2,32,Yes,Assault,28.59789167174208,77.19747599552157,Type: Assault | Location: Parking Lot | Time: Night | Weapon: Blunt Object | Suspects: 5,2019-12-09
Alley,Evening,Wednesday,4,Blunt Object,No,6,55,No,Assault,28.59609875561617,77.19585468176477,Type: Assault | Location: Alley | Time: Evening | Weapon: Blunt Object | Suspects: 4,2022-02-09
Park,Morning,Tuesday,3,Knife,Yes,9,58,No,Assault,28.572445848215462,77.20919514576605,Type: Assault | Location: Park | Time: Morning | Weapon: Knife | Suspects: 3,2015-09-17
Street,Evening,Monday,2,Gun,Yes,0,48,Yes,Vandalism,28.606534210484675,77.22800860296117,Type: Vandalism | Location: Street | Time: Evening | Weapon: Gun | Suspects: 2,2016-03-21
Residential,Night,Wednesday,1,Blunt Object,Yes,3,56,No,Vandalism,28.623919884148755,77.20211837621808,Type: Vandalism | Location: Residential | Time: Night | Weapon: Blunt Object | Suspects: 1,2019-07-09
